model,alpha,accuracy,agreement,mean_entropy,mean_total_reward
meta-llama/llama-4-scout-17b-16e-instruct,0.01,0.4,0.675,0.7615398641450412,0.6826153986414505
meta-llama/llama-4-scout-17b-16e-instruct,0.1,0.4,0.675,0.7615398641450412,0.751153986414504
meta-llama/llama-4-scout-17b-16e-instruct,0.5,0.4,0.675,0.7615398641450412,1.055769932072521
o4-mini,0.01,0.95,0.9122115384615384,0.26433371365636316,0.8994233828888636
o4-mini,0.1,0.95,0.9122115384615384,0.26433371365636316,0.9223588288886362
o4-mini,0.5,0.95,0.9122115384615384,0.26433371365636316,1.0242941444431803
qwen2.5-32b,0.01,0.45,0.5294642857142857,1.1795667383640551,0.5239859677134197
qwen2.5-32b,0.1,0.45,0.5294642857142857,1.1795667383640551,0.6273596771341972
qwen2.5-32b,0.5,0.45,0.5294642857142857,1.1795667383640551,1.0867983856709855
